2024-07-22 11:06:02.745024
Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
867014538;867014538;Hors-service;;;;;48.096713, -1.625387;
-1698582036;-1698582036;Hors-service;;;;;48.052555, -1.716596;
1231828542;1231828542;Hors-service;;;;;48.096397, -1.625157;
1414235544;1414235544;Hors-service;;;;;48.096876, -1.626275;
-1516175034;-1516175034;Hors-service;;;;;48.052393, -1.716595;
-144626722;-144626722;Hors-service;;;;;48.096394, -1.625238;
1961456550;1961456550;Hors-service;;;;;48.147193, -1.70571;
-968954028;-968954028;Hors-service;;;;;48.05208, -1.716755;
37780280;37780280;En ligne;0062;62;0;Vern-sur-Seiche;48.087678, -1.643552;0
-1421475736;-1421475736;En ligne;0077;77;1;Rennes;48.160491, -1.768011;0
125487984;125487984;Hors-service;;;;;48.052152, -1.716748;
402594284;402594284;En ligne;0055;55;0;Mordelles;48.071348, -1.852368;120
-1056661732;-1056661732;En ligne;0076;76;0;Mordelles;48.073868, -1.853555;288
307894986;307894986;En ligne;0059;59;0;Bruz;48.062333, -1.699542;88
585001286;585001286;En ligne;0054;54;0;Le Rheu;48.096364, -1.763462;5
-327033724;-327033724;Hors-service;;;;;48.096153, -1.625876;
855115992;855115992;En ligne;0074;74;0;Orgères | Bourgbarré;48.034077, -1.687905;-8
1132222292;1132222292;En ligne;0055;55;1;Rennes;48.104743, -1.739452;769
220187282;220187282;En ligne;0054;54;1;Rennes;48.10384, -1.87899;0
769861764;769861764;Hors-service;;;;;48.052561, -1.716906;
-1885895990;-1885895990;Hors-service;;;;;48.096159, -1.625715;
767408288;767408288;En ligne;0062;62;1;Rennes;48.038477, -1.602511;0
952268766;952268766;Hors-service;;;;;48.052476, -1.716992;
1608541092;1608541092;Hors-service;;;;;48.110316, -1.641626;
949815290;949815290;En ligne;0073;73;1;Rennes | La Poterie;48.04888, -1.608485;349
1317082770;1317082770;Hors-service;;;;;48.052557, -1.716986;
2044257302;2044257302;Hors-service;;;;;48.096792, -1.624748;
1864303776;1864303776;Hors-service;;;;;48.053836, -1.721067;
-2068302992;-2068302992;En ligne;0055;55;1;Rennes;48.075447, -1.843018;-113
-1336221508;-1336221508;Hors-service;;;;;48.052637, -1.717477;
-971407504;-971407504;Hors-service;;;;;48.052394, -1.717469;
-789000502;-789000502;Hors-service;;;;;48.052637, -1.717477;
-241779496;-241779496;Hors-service;;;;;48.052876, -1.716907;
-45020472;-45020472;Hors-service;;;;;48.146956, -1.706672;
502200534;502200534;Hors-service;;;;;48.097038, -1.624917;
684607536;684607536;Hors-service;;;;;48.110239, -1.642669;
1596642546;1596642546;Hors-service;;;;;48.147592, -1.705867;
1779049548;1779049548;Hors-service;;;;;48.096792, -1.624748;
-509440726;-509440726;Hors-service;;;;;48.14664, -1.705553;
1314629294;1314629294;Hors-service;;;;;48.096159, -1.625715;
1679443298;1679443298;Hors-service;;;;;48.096156, -1.625795;
1861850300;1861850300;Hors-service;;;;;48.096719, -1.625226;
1426134090;1426134090;Hors-service;;;;;48.110317, -1.642756;
2024-07-22 11:09:01.792741
Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
778817764;778817764;Hors-service;;;;;48.110794, -1.643229;
961224766;961224766;Hors-service;;;;;48.109915, -1.642667;
15578760;15578760;Hors-service;;;;;48.063915, -1.701471;
1690852774;1690852774;Hors-service;;;;;48.110476, -1.642838;
1508445772;1508445772;Hors-service;;;;;48.111354, -1.644113;
1292427774;1292427774;Hors-service;;;;;48.063753, -1.701228;
-1874486514;-1874486514;Hors-service;;;;;48.110077, -1.642668;
-349235244;-349235244;Hors-service;;;;;48.064713, -1.703156;
1839648780;1839648780;En ligne;0010;10;1;Beaulieu Chimie;48.098974, -1.711131;30
380392764;380392764;Hors-service;;;;;48.064559, -1.70251;
197985762;197985762;Hors-service;;;;;48.064801, -1.702989;
-1908097510;-1908097510;En ligne;0013;13;0;Porte de Ker Lann;48.084861, -1.653946;67
562799766;562799766;Hors-service;;;;;48.063837, -1.701397;
1657241778;1657241778;Hors-service;;;;;48.109676, -1.642996;
-1178469502;-1178469502;Hors-service;;;;;48.110641, -1.643229;
745206768;745206768;Hors-service;;;;;48.064314, -1.702986;
-2090504512;-2090504512;Hors-service;;;;;48.109674, -1.642834;
-996062500;-996062500;En ligne;0011;11;0;Roazhon Park;48.106788, -1.674304;88
927613770;927613770;Hors-service;;;;;48.064957, -1.702909;
-1360876504;-1360876504;Hors-service;;;;;48.109835, -1.643077;
-813655498;-813655498;Hors-service;;;;;48.109755, -1.642357;
1110020772;1110020772;Hors-service;;;;;48.064392, -1.703073;
-448841494;-448841494;En ligne;0011;11;1;La Poterie;48.107387, -1.717158;133
-631248496;-631248496;En ligne;0013;13;1;Chantepie;48.092398, -1.702902;-24
1474834776;1474834776;Hors-service;;;;;48.109676, -1.642996;
-266434492;-266434492;En ligne;0011;11;0;ZI Ouest;48.101237, -1.731803;104
98379512;98379512;Hors-service;;;;;48.110312, -1.642191;
2022055782;2022055782;En ligne;0012;12;0;La Poterie;48.121277, -1.705474;0
280786514;280786514;En ligne;0032;32;0;Alma Sud;48.124724, -1.662549;195
463193516;463193516;En ligne;0050;50;1;Thorigné;48.138094, -1.621053;91
-1725690508;-1725690508;En ligne;0010;10;0;Porte de Cleunay;48.118077, -1.676043;92
1375228526;1375228526;En ligne;0010;10;0;Porte de Cleunay;48.117114, -1.634025;0
645600518;645600518;En ligne;0014;14;0;Roazhon Park;48.128659, -1.698039;48
-1543283506;-1543283506;Hors-service;;;;;48.109674, -1.642592;
1740042530;1740042530;Hors-service;;;;;48.109919, -1.643233;
1557635528;1557635528;Hors-service;;;;;48.109754, -1.641711;
-84027490;-84027490;Hors-service;;;;;48.111201, -1.644113;
-2007703760;-2007703760;Hors-service;;;;;48.111279, -1.643958;
-1460482754;-1460482754;En ligne;0050;50;0;Cesson-Viasilva;48.150112, -1.578491;23
828007520;828007520;Hors-service;;;;;48.109757, -1.641873;
-1825296758;-1825296758;En ligne;0011;11;1;La Poterie;48.101982, -1.657056;9
-913261748;-913261748;Hors-service;;;;;48.109915, -1.642667;
1010414522;1010414522;Hors-service;;;;;48.109757, -1.641873;
-1642889756;-1642889756;Hors-service;;;;;48.11024, -1.641955;
-117638486;-117638486;Hors-service;;;;;48.110157, -1.641315;
1192821524;1192821524;Hors-service;;;;;48.110478, -1.641626;
-1095668750;-1095668750;Hors-service;;;;;48.10992, -1.642748;
1888838536;1888838536;En ligne;0006;C6;0;Aéroport;48.095241, -1.706425;127
1922449532;1922449532;En ligne;0011;11;0;ZI Ouest;48.103989, -1.635189;-140
-730854746;-730854746;En ligne;0064;64;1;Acigné;48.125498, -1.609652;184
-1494093750;-1494093750;Hors-service;;;;;48.110473, -1.642676;
2104856534;2104856534;Hors-service;;;;;48.110959, -1.644751;
-1029673496;-1029673496;Hors-service;;;;;48.07984, -1.734838;
-1311686748;-1311686748;Hors-service;;;;;48.115596, -1.578111;
-1278075752;-1278075752;Inconnu;0034;34;1;ZA Saint-Sulpice;48.128319, -1.642266;
-847266494;-847266494;Hors-service;;;;;48.11, -1.641867;
-946872744;-946872744;Hors-service;;;;;48.115753, -1.577788;
2071245538;2071245538;En ligne;0006;C6;0;Aéroport;48.113435, -1.590347;0
-664859492;-664859492;Hors-service;;;;;48.11024, -1.640596;
512383272;512383272;Hors-service;;;;;48.108955, -1.641385;
-2041314756;-2041314756;En ligne;0006;C6;0;Aéroport;48.109924, -1.678861;-79
-482452490;-482452490;Hors-service;;;;;48.081915, -1.633791;
1059604278;1059604278;Hors-service;;;;;48.108955, -1.641627;
-1858907754;-1858907754;Hors-service;;;;;48.11088, -1.643546;
64768516;64768516;Hors-service;;;;;48.110233, -1.640986;
1424418282;1424418282;Hors-service;;;;;48.115834, -1.577553;
-1129279746;-1129279746;Hors-service;;;;;48.115034, -1.578197;
247175518;247175518;Hors-service;;;;;48.110234, -1.640515;
1225205782;1225205782;Hors-service;;;;;48.110553, -1.641552;
-582058740;-582058740;Hors-service;;;;;48.1104, -1.644756;
-1676500752;-1676500752;En ligne;0006;C6;1;Cesson-Sévigné;48.10548, -1.684093;-80
-1345297744;-1345297744;Inconnu;0012;12;1;Villejean-U;48.110236, -1.642507;
-399651738;-399651738;Hors-service;;;;;48.114236, -1.580187;
-764465742;-764465742;En ligne;0006;C6;1;Cesson-Sévigné;48.082522, -1.712275;-74
-615669736;-615669736;Hors-service;;;;;48.115675, -1.578185;
1242011280;1242011280;Hors-service;;;;;48.108957, -1.642031;
-34837734;-34837734;Hors-service;;;;;48.108952, -1.641465;
478772276;478772276;Hors-service;;;;;48.109596, -1.642747;
1971639288;1971639288;Hors-service;;;;;48.108958, -1.641789;
147569268;147569268;Hors-service;;;;;48.115596, -1.578111;
661179278;661179278;Hors-service;;;;;48.110879, -1.644031;
-1958514004;-1958514004;Hors-service;;;;;48.109035, -1.641876;
-51643232;-51643232;Hors-service;;;;;48.109673, -1.643077;
843586280;843586280;En ligne;0012;12;1;Villejean-U;48.122471, -1.68412;40
-1776107002;-1776107002;Hors-service;;;;;48.115512, -1.578426;
677984776;677984776;Hors-service;;;;;48.079999, -1.73539;
-1627310996;-1627310996;Hors-service;;;;;48.114395, -1.579797;
1042798780;1042798780;Hors-service;;;;;48.110077, -1.642426;
-1162890742;-1162890742;Hors-service;;;;;48.115118, -1.578352;
1009187784;1009187784;Hors-service;;;;;48.110153, -1.640508;
1590019786;1590019786;En ligne;0056;56;0;Chavagne;48.109857, -1.67965;-75
-980483740;-980483740;En ligne;0012;12;0;La Poterie;48.110146, -1.674183;25
-1860134492;-1860134492;Hors-service;;;;;48.111113, -1.644038;
-798076738;-798076738;Hors-service;;;;;48.115913, -1.577627;
1573214288;1573214288;En ligne;0012;12;0;La Poterie;48.088073, -1.660916;82
-1677727490;-1677727490;Hors-service;;;;;48.109835, -1.641476;
1025993282;1025993282;En ligne;0012;12;1;Villejean-U;48.087358, -1.642757;0
1755621290;1755621290;En ligne;0012;12;0;La Poterie;48.135169, -1.685771;1
-1495320488;-1495320488;En ligne;0032;32;1;Saint-Grégoire;48.140545, -1.686585;284
1938028292;1938028292;Inconnu;0012;12;0;La Poterie;48.098875, -1.675635;
2120435294;2120435294;Hors-service;;;;;48.109201, -1.642026;
-948099482;-948099482;Hors-service;;;;;48.111033, -1.643788;
-1444903994;-1444903994;Hors-service;;;;;48.109192, -1.641796;
-1992125000;-1992125000;Hors-service;;;;;48.109194, -1.641958;
146342530;146342530;Hors-service;;;;;48.063675, -1.701154;
1374001788;1374001788;Hors-service;;;;;48.110878, -1.644515;
1191594786;1191594786;Hors-service;;;;;48.110236, -1.640676;
328749532;328749532;Hors-service;;;;;48.063678, -1.701073;
1556408790;1556408790;Hors-service;;;;;48.110319, -1.641545;
1921222794;1921222794;Hors-service;;;;;48.111201, -1.644113;
-616896474;-616896474;En ligne;0002;C2;0;Haut Sancé;48.093042, -1.639879;113
2103629796;2103629796;Hors-service;;;;;48.110474, -1.642191;
2070018800;2070018800;En ligne;0013;13;0;Porte de Ker Lann;48.071899, -1.712578;274
-69675468;-69675468;En ligne;0001;C1;1;Cesson-Viasilva;48.107177, -1.673355;-110
-2008930498;-2008930498;Hors-service;;;;;48.110873, -1.644192;
-1312913486;-1312913486;En ligne;0032;32;1;Saint-Grégoire;48.088265, -1.67428;-16
842359542;842359542;Hors-service;;;;;48.11064, -1.641869;
-2042541494;-2042541494;En ligne;0064;64;0;Cesson-Viasilva;48.136087, -1.590768;108
-583285478;-583285478;En ligne;0014;14;0;Roazhon Park;48.120099, -1.646134;-52
1571987550;1571987550;En ligne;0002;C2;1;Saint-Grégoire;48.10694, -1.670468;144
-1130506484;-1130506484;En ligne;0006;C6;1;Cesson-Sévigné;48.111136, -1.648481;41
-218471474;-218471474;Hors-service;;;;;48.109915, -1.641065;
1936801554;1936801554;Hors-service;;;;;48.110714, -1.64411;
-765692480;-765692480;Hors-service;;;;;48.109836, -1.641233;
-36064472;-36064472;Hors-service;;;;;48.063675, -1.701154;
-1628537734;-1628537734;En ligne;0005;C5;1;Saint-Laurent;48.085474, -1.691846;75
-400878476;-400878476;Hors-service;;;;;48.109833, -1.641072;
477545538;477545538;Hors-service;;;;;48.110476, -1.644426;
-1081316728;-1081316728;Hors-service;;;;;48.110555, -1.643558;
-799303476;-799303476;En ligne;0006;C6;1;Cesson-Sévigné;48.115898, -1.600683;43
1024766544;1024766544;En ligne;0007;C7;0;Bruz;48.021099, -1.752036;222
-351688720;-351688720;En ligne;0007;C7;1;St-Jacques-Gaîté;48.040356, -1.755151;-45
-252082470;-252082470;Hors-service;;;;;48.110479, -1.644588;
1207173546;1207173546;En ligne;0005;C5;0;Lycée Bréquigny;48.138716, -1.659071;0
-169281718;-169281718;En ligne;0002;C2;0;Haut Sancé;48.104073, -1.671614;41
112731534;112731534;En ligne;0001;C1;1;Cesson-Viasilva;48.116186, -1.674166;106
1754394552;1754394552;Hors-service;;;;;48.111197, -1.644193;
560346290;560346290;En ligne;0002;C2;0;Haut Sancé;48.15881, -1.683815;19
659952540;659952540;En ligne;0003;C3;0;Henri Fréville;48.117272, -1.677695;50
-1993351738;-1993351738;Hors-service;;;;;48.110552, -1.643867;
1107567296;1107567296;En ligne;0013;13;1;Chantepie;48.085315, -1.643815;369
1389580548;1389580548;Hors-service;;;;;48.110319, -1.641787;
-1446130732;-1446130732;Hors-service;;;;;48.110636, -1.643794;
1472381300;1472381300;En ligne;0004;C4;1;ZA Saint-Sulpice;48.110079, -1.656316;228
2119208556;2119208556;Hors-service;;;;;48.11112, -1.643634;
195532286;195532286;Hors-service;;;;;48.110474, -1.643793;
-998515976;-998515976;Hors-service;;;;;48.110073, -1.642991;
-1810944736;-1810944736;Hors-service;;;;;48.110555, -1.643787;
377939288;377939288;En ligne;0004;C4;0;Grand Quartier;48.134784, -1.6934;254
79120538;79120538;Hors-service;;;;;48.110236, -1.642507;
-898909726;-898909726;En ligne;0005;C5;0;Lycée Bréquigny;48.12208, -1.651208;59
742753292;742753292;En ligne;0005;C5;1;Saint-Laurent;48.109861, -1.679556;-98
443934542;443934542;Hors-service;;;;;48.064, -1.701156;
-716502724;-716502724;En ligne;0001;C1;0;Chantepie;48.088577, -1.619791;364
925160294;925160294;Hors-service;;;;;48.110319, -1.643389;
1355969552;1355969552;Hors-service;;;;;48.064715, -1.70243;
13125284;13125284;Hors-service;;;;;48.109995, -1.643145;
1289974298;1289974298;Hors-service;;;;;48.110313, -1.643308;
1720783556;1720783556;Hors-service;;;;;48.064794, -1.70315;
1654788302;1654788302;Hors-service;;;;;48.111195, -1.644031;
2019602306;2019602306;En ligne;0001;C1;0;Chantepie;48.113848, -1.674942;-46
-1662148730;-1662148730;Hors-service;;;;;48.11064, -1.641869;
1837195304;1837195304;En ligne;0003;C3;0;Henri Fréville;48.099502, -1.675718;301
-2092957988;-2092957988;Hors-service;;;;;48.110078, -1.643314;
-1114927724;-1114927724;Inconnu;0014;14;1;Beaulieu Chimie;48.114479, -1.71203;
-1728143984;-1728143984;En ligne;0002;C2;1;Saint-Grégoire;48.091887, -1.636481;55
-1910550986;-1910550986;En ligne;0004;C4;1;ZA Saint-Sulpice;48.109123, -1.690393;112
161921290;161921290;Hors-service;;;;;48.11, -1.641638;
-1363329980;-1363329980;Hors-service;;;;;48.110241, -1.643315;
-1545736982;-1545736982;Hors-service;;;;;48.110076, -1.643152;
344328292;344328292;Hors-service;;;;;48.052953, -1.717465;
-816108974;-816108974;En ligne;0002;C2;1;Saint-Grégoire;48.118192, -1.689246;227
-1180922978;-1180922978;Hors-service;;;;;48.111197, -1.644193;
526735294;526735294;Hors-service;;;;;48.109999, -1.64075;
-633701972;-633701972;En ligne;0004;C4;1;ZA Saint-Sulpice;48.127594, -1.703276;49
-451294970;-451294970;En ligne;0004;C4;0;Grand Quartier;48.132395, -1.636268;0
891549298;891549298;Hors-service;;;;;48.110073, -1.641389;
1538376554;1538376554;Hors-service;;;;;48.064398, -1.703155;
626341544;626341544;Hors-service;;;;;48.064794, -1.70315;
1073956300;1073956300;Hors-service;;;;;48.110077, -1.642668;
1903190558;1903190558;Hors-service;;;;;48.064801, -1.702989;
1173562550;1173562550;Hors-service;;;;;48.064873, -1.702753;
1438770304;1438770304;En ligne;0014;14;1;Beaulieu Chimie;48.125139, -1.661172;-221
-1844555732;-1844555732;Hors-service;;;;;48.063676, -1.700912;
2085597560;2085597560;Hors-service;;;;;48.064801, -1.702989;
1322358556;1322358556;Hors-service;;;;;48.064237, -1.701069;
-932520722;-932520722;Hors-service;;;;;48.11, -1.641867;
-2026962734;-2026962734;Hors-service;;;;;48.064712, -1.70251;
1504765558;1504765558;Hors-service;;;;;48.064798, -1.702827;
-567706718;-567706718;Hors-service;;;;;48.110557, -1.641229;
-1479741728;-1479741728;Hors-service;;;;;48.110312, -1.641948;
2051986564;2051986564;Hors-service;;;;;48.064154, -1.700914;
-202892714;-202892714;Hors-service;;;;;48.11, -1.641638;
-1297334726;-1297334726;Hors-service;;;;;48.109994, -1.642028;
-2060573730;-2060573730;Hors-service;;;;;48.064153, -1.701385;
709142296;709142296;Hors-service;;;;;48.110237, -1.642036;
-385299716;-385299716;Hors-service;;;;;48.109994, -1.641786;
-1695759726;-1695759726;En ligne;0007;C7;0;Bruz;48.056312, -1.730109;-42
1256363302;1256363302;En ligne;0003;C3;1;Patton;48.054543, -1.613268;-23
-20485712;-20485712;En ligne;0006;C6;0;Aéroport;48.115297, -1.607967;128
-601317714;-601317714;En ligne;0005;C5;0;Lycée Bréquigny;48.1388, -1.659227;0
1139951554;1139951554;Hors-service;;;;;48.064234, -1.701392;
957544552;957544552;Hors-service;;;;;48.063677, -1.700428;
-418910712;-418910712;En ligne;0005;C5;0;Lycée Bréquigny;48.110117, -1.662417;256
-1878166728;-1878166728;Hors-service;;;;;48.064476, -1.703229;
1687172560;1687172560;Hors-service;;;;;48.064954, -1.702989;
310717296;310717296;Hors-service;;;;;48.064079, -1.700746;
-1330945722;-1330945722;En ligne;0002;C2;1;Saint-Grégoire;48.151979, -1.686038;392
1869579562;1869579562;Hors-service;;;;;48.064713, -1.703156;
675531300;675531300;Hors-service;;;;;48.063995, -1.70059;
-783724716;-783724716;Hors-service;;;;;48.110638, -1.642825;
-1513352724;-1513352724;En ligne;0004;C4;0;Grand Quartier;48.121915, -1.703713;-64
1222752306;1222752306;Hors-service;;;;;48.064716, -1.703075;
-236503710;-236503710;En ligne;0001;C1;0;Chantepie;48.100679, -1.658771;-55
-1148538720;-1148538720;En ligne;0007;C7;0;Bruz;48.092158, -1.702598;0
1587566310;1587566310;Hors-service;;;;;48.063916, -1.700987;
1040345304;1040345304;Hors-service;;;;;48.064876, -1.702915;
-966131718;-966131718;Hors-service;;;;;48.110074, -1.642506;
1952380314;1952380314;Hors-service;;;;;48.064478, -1.702274;
-1430551972;-1430551972;Hors-service;;;;;48.06472, -1.701865;
-54096708;-54096708;En ligne;0006;C6;0;Aéroport;48.067688, -1.724294;265
2134787316;2134787316;Hors-service;;;;;48.064312, -1.702596;
-1248144970;-1248144970;Hors-service;;;;;48.063837, -1.700267;
493124298;493124298;En ligne;0003;C3;1;Patton;48.099746, -1.675726;44
-1977772978;-1977772978;Hors-service;;;;;48.063996, -1.701236;
-1065737968;-1065737968;Hors-service;;;;;48.06384, -1.700187;
857938302;857938302;Hors-service;;;;;48.063914, -1.700825;
-1795365976;-1795365976;Hors-service;;;;;48.111273, -1.644106;
-700923964;-700923964;Hors-service;;;;;48.064394, -1.700989;
1405159308;1405159308;Hors-service;;;;;48.063914, -1.700355;
-518516962;-518516962;Hors-service;;;;;48.064394, -1.700989;
-153702958;-153702958;Hors-service;;;;;48.064313, -1.700753;
1769973312;1769973312;Hors-service;;;;;48.063919, -1.700907;
211111046;211111046;Hors-service;;;;;48.064639, -1.702746;
758332052;758332052;Hors-service;;;;;48.064713, -1.702026;
